,train_loss,validate_loss,validate_accuracy
0,0.7195321484239532,2.607389258020474,9.1
1,0.36612055178025976,0.3675489316856579,90.25
2,0.329337431873625,0.31434227377492435,91.43
3,0.3100935943875852,0.2946737419653718,92.04
4,0.2966485817830716,0.2796655401186422,92.49
5,0.28616657005399027,0.2695756278170234,92.89
6,0.27800994954299624,0.2633268052986169,93.16
7,0.2707751784929628,0.2566321215294117,93.18
8,0.2650653689349748,0.24924723042723898,93.58
9,0.2589804580670853,0.24417350958221581,93.61
10,0.25418595256531973,0.23880287743882506,93.81
11,0.2497989033409342,0.23725854696522397,93.83
12,0.2459764544504146,0.23366854889656216,94.02
13,0.24262071929621637,0.2277502561008378,94.17
14,0.23926540076290279,0.2246977389549861,94.15
15,0.2366631266948231,0.22581350197443176,94.09
16,0.2337677367782591,0.21984857486327475,94.42
17,0.23167160890448268,0.21912542280503103,94.51
18,0.22904417509310354,0.2164966148533706,94.57
19,0.22674819736089544,0.215924865186446,94.51
20,0.22505320066855466,0.214358105867484,94.76
21,0.22331338034629533,0.21194832058922275,94.63
22,0.22114944538673273,0.20857752059244564,94.79
23,0.22006229914009204,0.2115301377465232,94.86
24,0.2186331699573664,0.20923940271157662,94.73
25,0.21737527855555341,0.20589953700316665,94.85
26,0.21601993554920254,0.2052798795585433,95.02
27,0.21473575176015475,0.20312073818887535,95.0
28,0.21352208751944846,0.20272952490906793,95.24
29,0.21257875531422168,0.20307348230891706,95.19
30,0.21126278540490478,0.20100346953902523,95.07
31,0.21047753323706064,0.20146495191814925,95.09
32,0.2093553640298294,0.20098073770124075,95.15
33,0.20915822209635027,0.20092066866573538,95.2
34,0.20821138469479153,0.1989039242546335,95.14
35,0.20731188121963656,0.1980059180394456,95.23
36,0.20656222492245355,0.19706418609082035,95.1
37,0.20595533836315405,0.19666753760314878,95.18
38,0.20554882004634742,0.19722734361028796,95.15
39,0.20524270903297395,0.19561439925092455,95.2
40,0.20456331759058782,0.19601931142695986,95.26
41,0.2039449409215004,0.19445881915572533,95.4
42,0.2034168012637325,0.1961167113992032,95.09
43,0.20325225291542653,0.1958372162110794,95.21
44,0.20263443370875736,0.19428013747394288,95.31
45,0.2022267522066224,0.1955983387948025,95.15
46,0.20140807964597457,0.19344303056378212,95.3
47,0.20153009422635554,0.19576546793193456,95.25
48,0.20085067492642403,0.19498745380599208,95.12
49,0.2008868269614225,0.19233149857956774,95.31
50,0.20051356561976116,0.19247095244116985,95.42
51,0.20002071214599354,0.19193557876849665,95.33
52,0.19993402967120738,0.19169737171892867,95.45
53,0.19935590870403685,0.19180249329912752,95.47
54,0.19930546081400538,0.19211751973989258,95.29
55,0.19902344529869104,0.19102515716164545,95.36
56,0.19863105927098873,0.1916394260983034,95.18
57,0.1984591990996888,0.19216977401551716,95.34
58,0.19803254918266605,0.19242498169473418,95.32
59,0.19810913611424708,0.19052075421680192,95.33
60,0.19797161333961394,0.19283110250669117,95.27
61,0.19764299159435406,0.19018177872105832,95.32
62,0.19755010421049607,0.19439243527713346,95.12
63,0.19721802502968178,0.19184011471895482,95.26
64,0.19757108268868137,0.191069535123918,95.3
65,0.19686538664419845,0.1894912181688651,95.31
66,0.19682346799266626,0.19070674765285847,95.38
67,0.1965941710163695,0.18909937691472548,95.43
68,0.1965644488069021,0.1896666033908069,95.33
69,0.19633512272712253,0.18875367027191753,95.5
70,0.19636614714255562,0.19021669122902443,95.32
71,0.1963530284594206,0.18944403583433542,95.39
72,0.19614175629296837,0.1899567989359583,95.26
73,0.1957649175020313,0.18989080853093893,95.15
74,0.1958595842065764,0.1883625089233624,95.4
75,0.19581410679531586,0.18859409437705008,95.44
76,0.1956666856907284,0.1889097518935685,95.53
77,0.19543346279542645,0.1891427402371522,95.54
78,0.1953123214872962,0.1875238602132122,95.47
79,0.19517758303674346,0.19161665978467227,95.31
80,0.1952429839444404,0.1898072804727982,95.33
81,0.1951538653903581,0.1905363223821032,95.38
82,0.19525310260490977,0.18910285998960466,95.52
83,0.19502578625223657,0.1880382424913619,95.46
84,0.19490082265886938,0.1879488036722326,95.4
85,0.19483338156026347,0.18821222353716222,95.61
86,0.19446155432691634,0.18719049590530215,95.48
87,0.19475450033184996,0.1888968538159547,95.37
88,0.19455041862969852,0.188211268397012,95.4
89,0.19466549734565788,0.19003955468759215,95.26
90,0.19460480080997355,0.18800997263845087,95.4
91,0.19436388909556898,0.18748102561221433,95.6
92,0.19425071330045418,0.18807355485658592,95.33
93,0.19434383430942817,0.18766937481665447,95.32
94,0.1942408992533494,0.1886805882689648,95.53
95,0.1940195175009885,0.18945796790721697,95.24
96,0.19380477615365893,0.19106274009828178,95.33
97,0.19380687399415844,0.18684210261010917,95.48
98,0.1937863296878919,0.18722615117542726,95.53
99,0.19389546855226591,0.1868885127169452,95.53
